hamster,mouse
Ogdhl,Ogdhl
Gabrr2,Gabrr2
Map3k7cl,Map3k7cl
Son,Son
LOC100769441,Or4q3
Pax1,Pax1
Txlnb,Txlnb
LOC100769448,Or10d5
Ostm1,Ostm1
Psmb6,Psmb6
Dnajc22,Dnajc22
LOC100769454,Pigp
Ttbk2,Ttbk2
Ankrd23,Ankrd23
Pdcd6ip,Pdcd6ip
LOC100769459,Cxcr1
Akt1,Akt1
Atoh1,Atoh1
LOC100769462,Krt28
Lsm4,Lsm4
Lrrc3b,Lrrc3b
Gtf2a1l,Gtf2a1l
Tysnd1,Tysnd1
Vsx1,Vsx1
LOC100769471,Tsc22d1
Cacna2d2,Cacna2d2
Cd2,Cd2
Dusp1,Dusp1
Tdp1,Tdp1
Pigq,Pigq
S100a1,S100a1
Asf1b,Asf1b
Cldn5,Cldn5
P2ry14,P2ry14
Zc3hav1,Zc3hav1
Zbtb26,Zbtb26
Gtf2ird1,Gtf2ird1
Ltbp4,Ltbp4
Hnrnph1,Hnrnph1
Qdpr,Qdpr
Ccdc125,Ccdc125
LOC100769497,Pla2g7
Pinlyp,Pinlyp
LOC100769503,Or5o1
Cldn9,Cldn9
LOC100769505,Pcdh7
Egfl6,Egfl6
LOC100769507,Cd69
Tet3,Tet3
Slc38a1,Slc38a1
Plbd2,Plbd2
Tmem201,Tmem201
Rnf13,Rnf13
Supt20h,Supt20
LOC100769519,Or6c212
LOC100769521,Defb14
Rfx7,Rfx7
Them5,Them5
Zcchc14,Zcchc14
P3h1,P3h1
Tprg1l,Tprg1l
Prickle1,Prickle1
Itga6,Itga6
Ephb4,Ephb4
Bloc1s4,Bloc1s4
Ccsap,Ccsap
Lrrc45,Lrrc45
Eif3d,Eif3d
Rap1b,Rap1b
Efcab14,Efcab14
Spp1,Spp1
Pik3r4,Pik3r4
LOC100769555,Tha1
Lrat,Lrat
Igfbpl1,Igfbpl1
Elmo2,Elmo2
Vgf,Vgf
Ark2c,Ark2c
Hscb,Hscb
Cideb,Cideb
Sft2d2,Sft2d2
Vwa8,Vwa8
Prkaa1,Prkaa1
C1qc,C1qc
Hhipl1,Hhipl1
Snx21,Snx21
LOC100769585,Gnmt
Psmb5,Psmb5
Tle6,Tle6
Sun1,Sun1
Rarg,Rarg
Ubd,Ubd
Nhej1,Nhej1
Gpn2,Gpn2
Sart1,Sart1
LOC100769603,E4f1
Znf385a,Zfp385a
Vrk3,Vrk3
Lrp3,Lrp3
Vcpkmt,Vcpkmt
Nid2,Nid2
Slc2a12,Slc2a12
LOC100769618,Vmn1r196
Rbm18,Rbm18
Naaa,Naaa
Mkks,Mkks
Grb2,Grb2
Pde12,Pde12
Ccar2,Ccar2
LOC100769633,Kif19b
Celf2,Celf2
Znf638,Zfp638
Litaf,Litaf
Lsm14b,Lsm14b
Zdhhc12,Zdhhc12
LOC100769643,Sult1a1
Mark2,Mark2
LOC100769648,Or52m2
Mcur1,Mcur1
B4galt7,B4galt7
LOC100769653,Or11j4
Eif4ebp1,Eif4ebp1
Trnau1ap,Trnau1ap
Clip1,Clip1
Tnks2,Tnks2
Lrrc28,Lrrc28
LOC100769666,Akap17b
Mbl2,Mbl2
Amot,Amot
Atg9b,Atg9b
Ticam1,Ticam1
Gfi1,Gfi1
Nck1,Nck1
LOC100769676,Or13p10
Dnase1l3,Dnase1l3
Alg5,Alg5
Pgpep1l,Pgpep1l
Mboat2,Mboat2
Hsdl2,Hsdl2
Sec11c,Sec11c
Srpk3,Srpk3
Plcg1,Plcg1
Noto,Noto
Lsm2,Lsm2
Pdzd11,Pdzd11
Polr2h,Polr2h
Pdik1l,Pdik1l
Cptp,Cptp
Ldhd,Ldhd
Itgb8,Itgb8
Cacfd1,Cacfd1
Lmtk2,Lmtk2
LOC100769718,Or6c38
Donson,Donson
LOC100769725,Or4k2
Ubl4b,Ubl4b
Mief1,Mief1
Abracl,Abracl
Chrne,Chrne
Snx25,Snx25
Syce3,Syce3
Lman2l,Lman2l
Clasp2,Clasp2
Cep170b,Cep170b
Grid2,Grid2
Zhx2,Zhx2
Mrps26,Mrps26
Iqcn,Iqcn
Acss1,Acss1
Lacc1,Lacc1
LOC100769756,Rassf1
Marchf7,Marchf7
Atp6v0e1,Atp6v0e
Emc2,Emc2
Kcnk13,Kcnk13
Caskin1,Caskin1
S100a13,S100a13
Ephb1,Ephb1
Septin5,Septin5
Mknk2,Mknk2
P2ry13,P2ry13
Hprt1,Hprt1
Atp6v0a4,Atp6v0a4
Sars2,Sars2
Cdk14,Cdk14
Clip2,Clip2
Nacad,Nacad
Dgka,Dgka
Cdk7,Cdk7
Opn5,Opn5
Ethe1,Ethe1
LOC100769787,Or11n2
Gys1,Gys1
Ttpal,Ttpal
Bmp2k,Bmp2k
Clec12a,Clec12a
Pex14,Pex14
Slc25a33,Slc25a33
Ankub1,Ankub1
Exosc8,Exosc8
LOC100769804,Or51k7
Nyap2,Nyap2
Tet2,Tet2
Ybx1,Ybx1
Wrap73,Wrap73
Myct1,Myct1
Map3k20,Map3k20
Rhno1,Rhno1
Slc12a9,Slc12a9
Kyat1,Kyat1
Mrps11,Mrps11
Rab4a,Rab4a
Dcxr,Dcxr
Cacng2,Cacng2
Nup107,Nup107
Cd28,Cd28
LOC100769831,Myh3
Dctpp1,Dctpp1
Polr1b,Polr1b
Cd96,Cd96
Tex12,Tex12
Vps72,Vps72
Tmem235,Tmem235
Vps13c,Vps13c
Fgg,Fgg
Tspan6,Tspan6
Abhd5,Abhd5
Lsm6,Lsm6
Ark2n,Ark2n
Pus1,Pus1
Nop9,Nop9
Wdpcp,Wdpcp
Ptger4,Ptger4
LOC100769865,Cyp46a1
Rapgef5,Rapgef5
Rpl27,Rpl27
Gin1,Gin1
Ppp2r5d,Ppp2r5d
Acin1,Acin1
Srl,Srl
Tle5,Tle5
Mlh1,Mlh1
Tspan13,Tspan13
Zranb1,Zranb1
LOC100769884,Or2h1
Grap2,Grap2
Cryba2,Cryba2
Klhdc7a,Klhdc7a
Mpped1,Mpped1
Sfn,Sfn
Slc35f2,Slc35f2
Tfeb,Tfeb
LOC100769895,Dnase1l2
Popdc3,Popdc3
LOC100769898,Ccl6
Ubap2,Ubap2
LOC100769903,Or2av9
Lpin2,Lpin2
Slc7a10,Slc7a10
Fsd2,Fsd2
Atp13a3,Atp13a3
Lhx6,Lhx6
Sdad1,Sdad1
Oas3,Oas3
Snap25,Snap25
Slc25a19,Slc25a19
Dhcr24,Dhcr24
Arf4,Arf4
Hnrnpa1,Hnrnpa1
Snx8,Snx8
Snn,Snn
Cnot6l,Cnot6l
Taf4,Taf4
Pkn3,Pkn3
Nrgn,Nrgn
Rcn1,Rcn1
Pigr,Pigr
Ranbp9,Ranbp9
Chd9,Chd9
Tmed9,Tmed9
Ric8a,Ric8a
Brf2,Brf2
Fshr,Fshr
Dock6,Dock6
Pgrmc1,Pgrmc1
Mcm2,Mcm2
Nos3,Nos3
Arrdc5,Arrdc5
Scn4a,Scn4a
Slc35g2,Slc35g2
Flnb,Flnb
Ccna1,Ccna1
Cd8b,Cd8b1
Tyw3,Tyw3
LOC100769974,Or2v1
Nelfa,Nelfa
Synm,Synm
Znf25,Zfp9
LOC100769980,Or7a36
Slc9a7,Slc9a7
Zfyve1,Zfyve1
Sema6a,Sema6a
LOC100769987,Oacyl
Abcd1,Abcd1
Tomm40l,Tomm40l
Lpin3,Lpin3
Smyd5,Smyd5
Vars1,Vars1
Kif4a,Kif4
Clcn2,Clcn2
Extl1,Extl1
Cfap96,Cfap96
Cldnd1,Cldnd1
Tas1r3,Tas1r3
Chst6,Chst5
Calhm4,Calhm4
Mcm7,Mcm7
Adamts13,Adamts13
Slc18a3,Slc18a3
Gja10,Gja10
Bach1,Bach1
Atp5po,Atp5po
Cracd,Cracd
Alx3,Alx3
Rps19bp1,Rps19bp1
Reps1,Reps1
LOC100770026,Or8g4
Afg1l,Afg1l
Irx4,Irx4
Ganc,Ganc
Cpt1b,Cpt1b
Wac,Wac
Ptpra,Ptpra
Top2b,Top2b
Otos,Otos
Tusc2,Tusc2
Baz2b,Baz2b
Trim45,Trim45
Crebrf,Crebrf
Psmc1,Psmc1
Pgp,Pgp
S100a14,S100a14
Kctd1,Kctd1
Tbx1,Tbx1
Mob3a,Mob3a
Kcnj8,Kcnj8
Rfc2,Rfc2
Rpf2,Rpf2
Coq8b,Coq8b
LOC100770068,Or4c124
Adgrf2,Adgrf2
Prkar1b,Prkar1b
Rock1,Rock1
Itgb7,Itgb7
LOC100770080,Or5bh3
Ruvbl2,Ruvbl2
Slx4,Slx4
Hnf4a,Hnf4a
Gk2,Gk2
Mthfd2,Mthfd2
Itk,Itk
Tpcn1,Tpcn1
H6pd,H6pd
LOC100770091,Tbk1
Clock,Clock
Nrsn1,Nrsn1
Kndc1,Kndc1
Alg12,Alg12
Epha5,Epha5
Mns1,Mns1
Mtmr1,Mtmr1
Txnrd3,Txnrd3
Pphln1,Pphln1
Mtrf1l,Mtrf1l
Trip6,Trip6
C6H9orf78,BC005624
Man2b2,Man2b2
Det1,Det1
Shroom3,Shroom3
Mdm2,Mdm2
Atpaf1,Atpaf1
LOC100770124,Sco1
Sephs2,Sephs2
Col6a5,Col6a5
Abhd10,Abhd10
Bcl9l,Bcl9l
LOC100770130,Myh6
Pou2af1,Pou2af1
Pi4kb,Pi4kb
Tnrc6c,Tnrc6c
Fga,Fga
Sytl4,Sytl4
Dync1li2,Dync1li2
Ano10,Ano10
Slc10a7,Slc10a7
Haus1,Haus1
LOC100770146,Tas2r124
Tinf2,Tinf2
Tmem17,Tmem17
Dcaf6,Dcaf6
Mtrf1,Mtrf1
Trim11,Trim11
Eml1,Eml1
Cdca7l,Cdca7l
Ifi35,Ifi35
Rhbdl2,Rhbdl2
Capns1,Capns1
Pam,Pam
S1pr4,S1pr4
Epm2aip1,Epm2aip1
Sgsm3,Sgsm3
Efhc2,Efhc2
Wnt10a,Wnt10a
Pax7,Pax7
Efcab6,Efcab6
Pigv,Pigv
Rab39a,Rab39
Rnf4,Rnf4
Pgc,Pgc
Mus81,Mus81
Lin28b,Lin28b
Ifitm10,Ifitm10
LOC100770184,Ccl3
Nckap1l,Nckap1l
Kif18a,Kif18a
LOC100770188,Or2ab1
Smchd1,Smchd1
Rere,Rere
Timp1,Timp1
Cxcl10,Cxcl10
Pak5,Pak5
Mif4gd,Mif4gd
Ttc22,Ttc22
LOC100770202,Nf1
Hesx1,Hesx1
Nfe2,Nfe2
Rhobtb2,Rhobtb2
Sugct,Sugct
Nudt1,Nudt1
Zc3h7a,Zc3h7a
Syt17,Syt17
LOC100770213,Spout1
Xrcc6,Xrcc6
Rbl2,Rbl2
Fam193b,Fam193b
Bet1l,Bet1l
Plpbp,Plpbp
Kansl3,Kansl3
Zcchc8,Zcchc8
Pld4,Pld4
Cpeb3,Cpeb3
Adamts17,Adamts17
Epcam,Epcam
Lonrf3,Lonrf3
Frmd3,Frmd3
Cd40,Cd40
Kif6,Kif6
Kcnh2,Kcnh2
Kdm4b,Kdm4b
Cd79b,Cd79b
LOC100770252,Or13p4
Cnot8,Cnot8
Nbea,Nbea
LOC100770259,Btnl9
Arrdc4,Arrdc4
Znf248,Zfp248
Sptlc3,Sptlc3
LOC100770265,Or7a37
Rbm25,Rbm25
Inip,Inip
Pdk3,Pdk3
Pcp4l1,Pcp4l1
Chd6,Chd6
Ndn,Ndn
Dlg3,Dlg3
Pafah2,Pafah2
Pdlim3,Pdlim3
Dvl1,Dvl1
Rexo4,Rexo4
LOC100770297,Or10p1
Ercc6,Ercc6
Anks4b,Anks4b
Spaca1,Spaca1
Grik1,Grik1
Aasdh,Aasdh
Exoc1,Exoc1
Slc40a1,Slc40a1
Xrn2,Xrn2
LOC100770313,Ces2h
Foxo3,Foxo3
Agap1,Agap1
Zc3h8,Zc3h8
Vps39,Vps39
Mkx,Mkx
LOC100770325,Ywhag
Vps16,Vps16
Pde4c,Pde4c
Ngly1,Ngly1
Gpr35,Gpr35
Tln2,Tln2
Tspan15,Tspan15
Enox1,Enox1
Camkv,Camkv
Bnip1,Bnip1
Nrde2,Nrde2
Ep400,Ep400
Aqp4,Aqp4
Txnrd2,Txnrd2
Ap3d1,Ap3d1
Gpr87,Gpr87
Slc37a3,Slc37a3
Ldhb,Ldhb
Akr1d1,Akr1d1
LOC100770350,Fbxo27
Eif4h,Eif4h
Itpkc,Itpkc
Mea1,Mea1
Cd2ap,Cd2ap
Foxl3,Foxl3
Znf740,Zfp740
Cand2,Cand2
Lypd3,Lypd3
LOC100770369,Or1aa2
Snrnp70,Snrnp70
Nlrc3,Nlrc3
Paqr3,Paqr3
Bola2b,Bola2
Ddx54,Ddx54
Rassf3,Rassf3
Pdcl2,Pdcl2
Pfn2,Pfn2
LOC100770382,Dcdc2a
Lrrc15,Lrrc15
LOC100770385,Or51i1
Trpc4,Trpc4
LOC100770388,Akr1c21
Mrpl9,Mrpl9
Irf8,Irf8
Mfap2,Mfap2
LOC100770395,Prss32
Tspan9,Tspan9
Tor1a,Tor1a
Mrpl46,Mrpl46
Cpm,Cpm
Mob3c,Mob3c
Icos,Icos
Fcmr,Fcmr
Ncam1,Ncam1
Septin9,Septin9
Egr2,Egr2
Fgb,Fgb
Cstf2,Cstf2
Ncbp1,Ncbp1
Snrk,Snrk
Dgki,Dgki
Atp5f1a,Atp5f1a
Cd47,Cd47
Rec8,Rec8
Mpzl1,Mpzl1
Dnajc15,Dnajc15
Guk1,Guk1
Dnah11,Dnah11
Rnd2,Rnd2
Ndufs5,Ndufs5
Tbcb,Tbcb
Cebpe,Cebpe
LOC100770451,Crebbp
Yme1l1,Yme1l1
Stac,Stac
Cxxc1,Cxxc1
Mrtfa,Mrtfa
Eif2b1,Eif2b1
Igsf21,Igsf21
A4galt,A4galt
Cul5,Cul5
Haus3,Haus3
Frs3,Frs3
Mcm4,Mcm4
Popdc1,Bves
Syt8,Syt8
LOC100770471,Ccl4
LOC100770472,Or11l3
Emilin2,Emilin2
Pepd,Pepd
Znf184,Zfp184
Usp11,Usp11
Nup54,Nup54
Six1,Six1
Lamp5,Lamp5
Ssbp3,Ssbp3
Rab11fip4,Rab11fip4
Smug1,Smug1
Mrm2,Mrm2
Ect2l,Ect2l
Rsl1d1,Rsl1d1
Cacna1b,Cacna1b
Sim1,Sim1
Adcy3,Adcy3
Endog,Endog
Desi1,Desi1
Slco5a1,Slco5a1
Ppp1r3b,Ppp1r3b
Ddx41,Ddx41
Cimap1a,Cimap1a
Erlin2,Erlin2
Tmprss4,Tmprss4
Neurl3,Neurl3
Ccr4,Ccr4
Cdca4,Cdca4
Gpr119,Gpr119
Cers3,Cers3
Man1a2,Man1a2
S100a4,S100a4
Ptprs,Ptprs
Gh1,Gh
LOC100770537,Or13p3
Map3k1,Map3k1
LOC100770541,Or4f15
Rnf103,Rnf103
Maea,Maea
Bms1,Bms1
Strbp,Strbp
Psen1,Psen1
Ap3s1,Ap3s1
Slc46a2,Slc46a2
Pcyt1b,Pcyt1b
Mmp19,Mmp19
Kgd4,Mrps36
Malt1,Malt1
Mpz,Mpz
LOC100770560,Zfp280b
Cct7,Cct7
Mkrn3,Mkrn3
Triqk,Triqk
Eif4g1,Eif4g1
Stmn1,Stmn1
Aurkaip1,Aurkaip1
LOC100770573,Hs3st4
LOC100770574,Or1m1
Ndufa8,Ndufa8
Zbed4,Zbed4
Znf280d,Zfp280d
Drgx,Drgx
Nyx,Nyx
Fgf12,Fgf12
Pgm5,Pgm5
LOC100770592,Krtap9-5
Kiz,Kiz
LOC100770596,Or10d5j
Sesn1,Sesn1
Slc25a11,Slc25a11
Pdlim5,Pdlim5
Tmem87b,Tmem87b
Cxcr5,Cxcr5
Pla2g4f,Pla2g4f
Phactr4,Phactr4
Nfkb1,Nfkb1
Rab18,Rab18
Borcs8,Borcs8
Nek10,Nek10
Kif1a,Kif1a
Tpm1,Tpm1
Cog3,Cog3
Uba7,Uba7
Tanc1,Tanc1
Stc2,Stc2
Wfikkn1,Wfikkn1
Chst9,Chst9
Comt,Comt
Rab19,Rab19
Gys2,Gys2
Acp7,Acp7
Gtf3c6,Gtf3c6
LOC100770638,Or8k22
Adgrf4,Adgrf4
Gabbr1,Gabbr1
Lin7b,Lin7b
Naa11,Naa11
Thra,Thra
LOC100770654,Masp2
Myh14,Myh14
Mettl15,Mettl15
Spmip6,Spmip6
Gns,Gns
Srd5a3,Srd5a3
Lzic,Lzic
LOC100770663,Spef1l
Cpn2,Cpn2
LOC100770665,Or51k1
Postn,Postn
Lbr,Lbr
Oaz3,Oaz3
LOC100770670,Cox4i1
Atp13a2,Atp13a2
Srrm2,Srrm2
Nup85,Nup85
Tspan11,Tspan11
Ache,Ache
Ptpa,Ptpa
Irf2bp2,Irf2bp2
Gps1,Gps1
Dmbx1,Dmbx1
Dnah9,Dnah9
Itgal,Itgal
Wdr82,Wdr82
Il20,Il20
Chkb,Chkb
Nox1,Nox1
Parpbp,Parpbp
Hemgn,Hemgn
Mmp9,Mmp9
Pomgnt2,Pomgnt2
Ptn,Ptn
Pstpip2,Pstpip2
LOC100770712,Tas2r140
Anapc13,Anapc13
Nrl,Nrl
Fam161a,Fam161a
Atp7b,Atp7b
Mrpl55,Mrpl55
Kdm1a,Kdm1a
Brca1,Brca1
Macf1,Macf1
LOC100770729,Or2w2
Uhmk1,Uhmk1
Slc7a8,Slc7a8
Ubn1,Ubn1
Nfic,Nfic
Pnck,Pnck
Mastl,Mastl
LOC100770736,Prss44
Smad4,Smad4
Abraxas2,Abraxas2
Serpina7,Serpina7
Ttll4,Ttll4
Ndufaf5,Ndufaf5
C8H2orf42,C87436
Mcat,Mcat
Tomm6,Tomm6
Clec9a,Clec9a
Prkdc,Prkdc
Abca3,Abca3
Prep,Prep
Sorbs2,Sorbs2
Mtrfr,Mtrfr
Myom1,Myom1
Npc2,Npc2
Btbd1,Btbd1
Prss16,Prss16
Cxcl9,Cxcl9
Mnat1,Mnat1
Cpsf7,Cpsf7
Erc2,Erc2
Chmp7,Chmp7
Epdr1,Epdr1
Elfn1,Elfn1
Wfs1,Wfs1
Fxyd6,Fxyd6
Cdh26,Cdh26
Gtf3c5,Gtf3c5
Efr3b,Efr3b
Padi6,Padi6
Frg1,Frg1
Plekhm2,Plekhm2
Cldn23,Cldn23
Pdlim7,Pdlim7
Hook3,Hook3
Claudin-4,Cldn4
Plekhb2,Plekhb2
Cnot10,Cnot10
Nudt14,Nudt14
Slc25a14,Slc25a14
Chsy1,Chsy1
Kcnk12,Kcnk12
Timm29,Timm29
Tent5c,Tent5c
S100a3,S100a3
P2rx2,P2rx2
Znrf4,Znrf4
Smarcd2,Smarcd2
Slc49a3,Slc49a3
LOC100770820,Or13p8
Igsf10,Igsf10
Il31ra,Il31ra
Lpcat4,Lpcat4
LOC100770826,Chmp3
Cplane1,Cplane1
Csgalnact2,Csgalnact2
Ism1,Ism1
Slc1a6,Slc1a6
Papln,Papln
Lvrn,Lvrn
Zfp37,Zfp37
Klhdc3,Klhdc3
Ccnb1,Ccnb1
Alpk2,Alpk2
Thoc1,Thoc1
Zhx3,Zhx3
Fbxo41,Fbxo41
Rps6ka1,Rps6ka1
LOC100770851,Ly6g6e
Ccnl2,Ccnl2
Foxj2,Foxj2
Rsph4a,Rsph4a
Cfap73,Cfap73
LOC100770865,Surf1
Ptgs1,Ptgs1
Brd1,Brd1
Tcf12,Tcf12
C1H10orf71,3425401B19Rik
LOC100770874,Abca14
Xpo1,Xpo1
Grin1,Grin1
Ola1,Ola1
LOC100770882,Or52n2b
Ralgapa2,Ralgapa2
Rnf167,Rnf167
Slc5a2,Slc5a2
Incenp,Incenp
LOC100770890,Cfap95
Anapc1,Anapc1
Pla2g4e,Pla2g4e
Med18,Med18
Rfx5,Rfx5
Arhgap12,Arhgap12
Nsf,Nsf
Mpv17l2,Mpv17l2
Slc4a7,Slc4a7
Kifbp,Kifbp
Tpt1,Tpt1
Bsn,Bsn
Ranbp1,Ranbp1
Dennd2a,Dennd2a
Recql,Recql
Nccrp1,Nccrp1
Fzd1,Fzd1
Limk1,Limk1
Sqor,Sqor
LOC100770923,Or4c15b
LOC100770924,Or8k53
Adap1,Adap1
Hoxc8,Hoxc8
Arhgef18,Arhgef18
Bex3,Bex3
Ppfia3,Ppfia3
Acat1,Acat1
R3hdml,R3hdml
Arr3,Arr3
Dusp11,Dusp11
Tbx6,Tbx6
Acad9,Acad9
Kif24,Kif24
Tmem165,Tmem165
LOC100770947,Kif1b
Trappc9,Trappc9
Adam8,Adam8
Gp5,Gp5
LOC100770951,Or51i2
Sag,Sag
Tp53bp2,Trp53bp2
Plcb4,Plcb4
Crocc,Crocc
Oprm1,Oprm1
Prmt8,Prmt8
Scyl1,Scyl1
Ptges,Ptges
Echdc3,Echdc3
Prc1,Prc1
Tarbp1,Tarbp1
Dus1l,Dus1l
Mstn,Mstn
Lemd3,Lemd3
LOC100770975,Pard3b
Map2k4,Map2k4
Ppm1m,Ppm1m
Gcsam,Gcsam
Btg4,Btg4
Sec14l1,Sec14l1
Xkrx,Xkrx
Pmch,Pmch
Trim14,Trim14
LOC100770995,Cyp8b1
Chrm2,Chrm2
Epg5,Epg5
Amotl2,Amotl2
Carmil3,Carmil3
Rcsd1,Rcsd1
Dot1l,Dot1l
Myl4,Myl4
Alg11,Alg11
Robo1,Robo1
Evl,Evl
Fkbp10,Fkbp10
Wdr62,Wdr62
Pabpn1,Pabpn1
Glyr1,Glyr1
Dohh,Dohh
Bgn,Bgn
Acbd5,Acbd5
LOC100771024,Prss43
Elac1,Elac1
Eef1akmt2,Eef1akmt2
Stk36,Stk36
Sel1l2,Sel1l2
Zfyve28,Zfyve28
Usp49,Usp49
Olr1,Olr1
Cebpd,Cebpd
LOC100771037,Abca17
LOC100771038,Ece2
Ankrd37,Ankrd37
Mphosph9,Mphosph9
LOC100771043,Sh3bp5l
Arel1,Arel1
Whamm,Whamm
Six4,Six4
Suz12,Suz12
R3hcc1,R3hcc1
Micall2,Micall2
Fxyd2,Fxyd2
Cep57l1,Cep57l1
Dnmt3a,Dnmt3a
Asah1,Asah1
Rpgrip1l,Rpgrip1l
LOC100771073,Urah
Pomk,Pomk
Ptpn11,Ptpn11
LOC100771080,Nemf
Rab33a,Rab33a
Snrpa1,Snrpa1
Msh6,Msh6
Carm1,Carm1
Zcchc12,Zcchc12
Tle1,Tle1
Tagln2,Tagln2
Ankh,Ank
Safb,Safb
Psmc5,Psmc5
Cplx1,Cplx1
LOC100771102,Or13p5
Plpp1,Plpp1
Kdm3a,Kdm3a
Rasgef1a,Rasgef1a
Casp14,Casp14
Dnajc14,Dnajc14
Cenph,Cenph
Fcrla,Fcrla
Ift122,Ift122
Pcsk2,Pcsk2
Trpv1,Trpv1
Asb1,Asb1
Mrpl20,Mrpl20
C3ar1,C3ar1
Slc8b1,Slc8b1
Med22,Med22
Pcdhb1,Pcdhb1
LOC100771150,Zdhhc25
Grk5,Grk5
Cgnl1,Cgnl1
Lrrc18,Lrrc18
Crym,Crym
Ostn,Ostn
Epas1,Epas1
Cir1,Cir1
LOC100771164,1700009N14Rik
Zscan2,Zscan2
Cenpe,Cenpe
Eno3,Eno3
Faah,Faah
Vwa2,Vwa2
Nmi,Nmi
Clstn1,Clstn1
Ehd4,Ehd4
Sesn2,Sesn2
Psmb4,Psmb4
Pik3r2,Pik3r2
Zwint,Zwint
Sfrp2,Sfrp2
Gpx1,Gpx1
Dapl1,Dapl1
Eif3e,Eif3e
Zc3h14,Zc3h14
Rhbdl1,Rhbdl1
Scin,Scin
Zdhhc8,Zdhhc8
Adck2,Adck2
Mbnl1,Mbnl1
LOC100771200,Gtf2ird2
Bloc1s6,Bloc1s6
Rab4b,Rab4b
Znf697,Zfp697
LOC100771209,Or8k23
Dnaaf5,Dnaaf5
Hoxc11,Hoxc11
LOC100771214,Pex11g
Pcbp1,Pcbp1
Nopchap1,Nopchap1
Fitm2,Fitm2
Gdpd2,Gdpd2
Mob1a,Mob1a
Mccc1,Mccc1
Dcaf12,Dcaf12
Tbc1d30,Tbc1d30
Nmu,Nmu
Nmnat1,Nmnat1
LOC100771237,Or51a10
Usp40,Usp40
Capn2,Capn2
Chst13,Chst13
Syt7,Syt7
Sdhb,Sdhb
Kremen2,Kremen2
LOC100771249,Trim80
Parp11,Parp11
Tor1b,Tor1b
Jakmip1,Jakmip1
Sh3bp4,Sh3bp4
Slc35f3,Slc35f3
Gbgt1,Gbgt1
Rfng,Rfng
Acmsd,Acmsd
Slc9c1,Slc9c1
Pfn3,Pfn3
Txn2,Txn2
Ppp2r1b,Ppp2r1b
Mgat5b,Mgat5b
Agxt,Agxt
Tmem35a,Tmem35a
Nup37,Nup37
Hhatl,Hhatl
Slc13a4,Slc13a4
Chfr,Chfr
LOC100771290,Dhrs4
Cd247,Cd247
Sf3a2,Sf3a2
Nde1,Nde1
Tlk2,Tlk2
Rgcc,Rgcc
Znf436,Zfp46
Degs2,Degs2
Nbr1,Nbr1
Numb,Numb
LOC100771301,Or4c102
LOC100771303,Nkapl
Chst11,Chst11
Slc22a17,Slc22a17
Mfsd12,Mfsd12
Trex2,Trex2
Prss45p,Prss45
Me2,Me2
Fam53b,Fam53b
Tnrc6b,Tnrc6b
Rnf25,Rnf25
Flrt3,Flrt3
Dhx36,Dhx36
Mxd4,Mxd4
LOC100771319,Med20
Gabarapl1,Gabarapl1
Spidr,Spidr
Ntn3,Ntn3
Wdr59,Wdr59
St3gal6,St3gal6
Nr1d1,Nr1d1
LOC100771328,Wfdc21
Lypd8,Lypd8
Fcf1,Fcf1
Homer2,Homer2
Nars2,Nars2
LOC100771334,Or8c9
Rorb,Rorb
Ldlrad1,Ldlrad1
Loxl2,Loxl2
Hebp2,Hebp2
Mrtfb,Mrtfb
Tmprss13,Tmprss13
Ppp1r3d,Ppp1r3d
Uap1l1,Uap1l1
Pcm1,Pcm1
Trmt9b,Trmt9b
Ash2l,Ash2l
Cnga3,Cnga3
Hectd4,Hectd4
Ralyl,Ralyl
Dync1h1,Dync1h1
Aifm1,Aifm1
Cpxm1,Cpxm1
Pcsk6,Pcsk6
Fbxo11,Fbxo11
Dnm2,Dnm2
LOC100771374,Spta1
Il13ra1,Il13ra1
Rasef,Rasef
Vsig8,Vsig8
Atp1a1,Atp1a1
LOC100771382,Aoc1
Lonp1,Lonp1
Ddx42,Ddx42
Dgkq,Dgkq
Esyt3,Esyt3
LOC100771391,Aadacl2fm3
Nop10,Nop10
Itprid1,Itprid1
Skp2,Skp2
Ywhah,Ywhah
Hnrnpf,Hnrnpf
Mars2,Mars2
LOC100771402,Or1j21
Brd4,Brd4
LOC100771404,Fundc2b
Susd1,Susd1
Nadsyn1,Nadsyn1
Rras2,Rras2
Tmx3,Tmx3
Tmcc1,Tmcc1
Ppp1r11,Ppp1r11
Otor,Otor
Nudc,Nudc
Abhd16a,Abhd16a
Shpk,Shpk
Traf3ip1,Traf3ip1
Catsper4,Catsper4
Tmem88b,Tmem88b
Ppp4c,Ppp4c
Trappc14,Trappc14
Iqcd,Iqcd
Sgk1,Sgk1
LOC100771434,Pglyrp3
Epgn,Epgn
Klf9,Klf9
Polr2m,Polr2m
LOC100771442,Mageb11
Arhgap22,Arhgap22
Zp2,Zp2
Pm20d2,Pm20d2
Il1rap,Il1rap
Ntmt1,Ntmt1
Tiam2,Tiam2
Nostrin,Nostrin
LOC100771452,Or52e5
Crnkl1,Crnkl1
Wdr73,Wdr73
Vps33b,Vps33b
Sorcs3,Sorcs3
Afap1l2,Afap1l2
Npnt,Npnt
Atp5if1,Atp5if1
Pogz,Pogz
Tlr2,Tlr2
Stox1,Stox1
Usp4,Usp4
Pcif1,Pcif1
Eml5,Eml5
Jmjd8,Jmjd8
Arl4a,Arl4a
